Days_to_Flowering;Days_to_Maturity;First_Pod_Height_cm;Branch_Number;Plant_Height_cm;Biological_Yield_g;Pod_Number;Pod_Weight_g;Pod_Length_cm;Seeds_per_Pod;Seeds_per_Plant;Single_Plant_Yield_g;Plot_Yield_kg_da;Seed_Weight_100_g;Pod_Filling_Rate;Seed_to_Pod_Ratio;Seed_Unit_Weight;Pod_Length_Yield_Index;Plant_Yield_Ratio;Vegetation_Period_days
50;106;29.6;2.4;78.4;39.129999999999995;10.8;23.6;8.5;3.1999999999999997;19.8;17.810000000000002;210.37;126.75;2.183163737280296;1.8316373728029602;1.1913175164058556;2.7732079905992952;3.6197964847363546;56
48;107;38.2;4.2;91.6;46.150000000000006;6.8;20.0;7.7;2.4;13.2;17.04;301.18;148.87;2.9368575624082234;1.9383259911894273;1.514004542013626;2.594033722438392;6.776798825256976;59
49;108;43.800000000000004;4.0;91.2;52.589999999999996;8.400000000000002;25.23;7.74;2.8;17.6;18.919999999999998;253.92;142.51;2.9999999999999996;2.092746730083234;1.432708688245315;3.255483870967742;6.2532699167657535;59
50;110;49.8;4.0;89.6;21.580000000000005;6.3999999999999995;9.809999999999999;5.4;2.4;10.8;7.8;281.47;139.73;1.530421216848674;1.6848673946957882;0.9074930619796483;1.8133086876155264;3.3666146645865846;60
48;110;44.800000000000004;2.8;88.4;38.85;5.800000000000001;15.9;8.04;2.6000000000000005;10.0;10.670000000000002;135.6;117.42;2.7366609294320137;1.7211703958691909;1.5884115884115886;1.975155279503106;6.686746987951807;62
46;109;32.0;3.8;75.0;29.809999999999995;7.2;16.860000000000003;6.82;3.4;15.400000000000002;12.510000000000002;186.7;123.45;2.3384188626907076;2.1359223300970878;1.0940947436729398;2.468521229868229;4.134535367545076;63
50;109;30.6;4.6;68.19999999999999;42.11;14.2;16.849999999999998;6.7;6.82;2.4;10.8;82.45;96.84;1.1857846586910625;0.1688951442646024;6.991701244813278;2.5111773472429206;2.963406052076003;59
52;107;32.6;3.599999999999999;71.0;39.269999999999996;8.2;17.130000000000003;8.6;2.4;17.6;12.080000000000002;102.04;111.66;2.0864799025578566;2.1437271619975644;0.9727427597955707;1.9895470383275267;4.7831912302070645;55
51;106;33.400000000000006;3.2;65.6;22.57;4.0;4.35;5.299999999999999;1.8332600000000003;3.8;2.95;45.84;87.79;1.084788029925187;0.9476309226932669;1.141732283464567;0.8192090395480227;5.628428927680798;55
50;107;38.6;2.8;79.8;34.5;6.6;13.059999999999999;7.4;2.6000000000000005;7.8;8.42;86.89;102.33;1.9757942511346445;1.1800302571860817;1.6722151088348272;1.7624831309041833;5.219364599092285;57
